Hierarchical Dynamic_hierarchical/s
  189.460512     2.898918
  191.030916     2.956956
  190.298658     3.050485
  188.754769     2.968396
  188.255369     2.938767
  188.944894     2.946260
  189.784713     3.008365
  190.511165     3.005107
  195.114710     2.959792
  192.664884     2.974192
  190.559712     2.937489
  190.955967     2.971122
  192.343290     2.942415
  190.302939     2.920522
  189.567746     3.007469
  190.854310     2.934579
  199.168654     2.951469
  192.968534     3.010144     3.132034
  189.074267     2.948184     2.922056
  188.807338     2.917609     2.989797
  189.898439     2.931753     2.972448
  191.047220     3.014892     3.152858
  191.372431     2.957129     3.042760
  190.382608     2.962201     2.992922
  191.145959     3.659726     3.005070
  191.193550     2.885122     2.947759
  190.248778     2.930671     2.941837
  189.528816     2.948512     2.985163
  189.723179     3.007583     2.967741
  191.262151     3.027376     3.158971
  192.097653     2.946953     2.999727
  191.488187     2.965837     2.952768
  191.918750     2.978171     3.200469
  191.597551     2.973457     2.988806
  191.633064     2.949138     2.949340
  192.323473     2.998570     2.975644
  191.550811     3.013082     3.048739
  191.444729     2.978163     2.996041
  189.080188     2.984591     3.000252
  190.713066     2.956066     2.932006
  190.600056     2.954152     3.048321
  189.122199     2.906187     2.985570
  190.269029     2.978478     3.028486
  190.700361     2.977124     2.938570
  189.125901     2.943621     2.933504
  189.743387     2.987919     2.985653
  190.631574     3.004254     2.982993
  190.784224     2.945782     2.960801
  188.596034     2.951786     2.982026
  188.824377     2.971582     2.977379
  188.966275     2.931998     2.963141
  189.567813     2.921154     2.931652
  189.562164     2.929485     2.916345
  188.483556     2.922606     2.960275
  189.505813     2.969331     3.018361
  190.094705     2.943657     3.015701
  189.656228     2.956115     2.994273
  188.766779     2.939119     2.930088
